criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
entropy,3,19,3,0.9896013123284602,0.0058858657843111435,1.845,0,SYN
entropy,3,30,9,0.9862063329373818,0.00754806686707581,4.217,1,SYN
entropy,7,30,2,0.9873613659065876,0.006223401103509822,2.31,2,SYN
entropy,5,31,8,0.9887781955633448,0.004404152383016262,3.788,3,SYN
gini,23,27,6,0.9890842159977987,0.005725617311713363,1.699,4,SYN
entropy,11,34,7,0.9887506225248744,0.007511987379711483,3.6,5,SYN
entropy,28,33,9,0.989645633648421,0.007088771299896729,3.154,6,SYN
gini,20,13,2,0.9871888443525911,0.007787712973772665,1.735,7,SYN
gini,25,34,5,0.9873546819554454,0.007648773198412724,3.801,8,SYN
entropy,22,19,4,0.9860413579398571,0.01375915481882111,3.059,9,SYN
gini,7,15,3,0.9731255066347183,0.021142440017939388,2.802,10,SYN
gini,28,33,3,0.9836523805596844,0.006057190847046196,3.018,11,SYN
gini,15,19,3,0.9873825609151214,0.010929155024694935,4.385,12,SYN
entropy,20,3,2,0.9471683722091646,0.023576634526848834,4.829,13,SYN
entropy,12,33,5,0.9861967022235232,0.007454230907117015,5.79,14,SYN
entropy,16,31,3,0.9887871675591695,0.007090656776177519,4.789,15,SYN
entropy,6,9,2,0.9696474848854448,0.02095316195166448,2.893,16,SYN
entropy,23,11,7,0.978800737015441,0.014695080664621336,2.109,17,SYN
gini,7,28,6,0.9869919398738976,0.008242313983380139,2.889,18,SYN
gini,14,34,3,0.9845017452256423,0.00774098547042087,2.7,19,SYN
gini,16,15,2,0.9759819407885741,0.01692745456252934,2.192,20,SYN
gini,29,32,5,0.9907430861982126,0.005349302109297619,3.256,21,SYN
gini,10,25,9,0.9905226263215514,0.005110242718696241,2.656,22,SYN
gini,7,24,3,0.9870928134288702,0.004911185521596215,3.408,23,SYN
entropy,20,6,3,0.9578987223039134,0.025629745480130108,2.271,24,SYN
entropy,7,29,3,0.987343012198027,0.0067186719439862935,3.363,25,SYN
entropy,23,25,5,0.9877072181097288,0.005687141966608765,4.139,26,SYN
gini,32,4,3,0.9468957208314522,0.02737941788741538,2.363,27,SYN
gini,24,18,9,0.9859400630399314,0.006633834390899081,3.774,28,SYN
gini,10,10,2,0.9790550733258995,0.020201610374141362,3.816,29,SYN
gini,27,25,4,0.9919245921240887,0.004988909365101099,3.495,30,SYN
gini,27,24,3,0.9900069305589895,0.004238408424990384,2.336,31,SYN
entropy,32,22,7,0.9825989174420829,0.009969445865162522,2.951,32,SYN
entropy,26,32,9,0.9873828552444939,0.006105922261470502,2.707,33,SYN
gini,19,5,6,0.9509869484562172,0.04842465562425763,1.806,34,SYN
gini,10,3,8,0.9483843608830057,0.02193776976990014,2.141,35,SYN
gini,10,30,5,0.9879443816177422,0.007519663067299903,2.34,36,SYN
gini,24,25,2,0.9896643466100528,0.005823267759512328,2.602,37,SYN
entropy,30,7,2,0.9705327867015197,0.025074560753040324,1.725,38,SYN
gini,8,28,4,0.9853479915620673,0.007133901141106148,2.961,39,SYN
gini,19,32,6,0.9867558842748855,0.0074034132369959335,2.711,40,SYN
gini,28,21,7,0.98345990123519,0.013422818985641016,2.259,41,SYN
gini,15,18,4,0.9798810527833111,0.016694588722276908,2.317,42,SYN
entropy,8,19,2,0.9861148632522418,0.009721806202194172,2.813,43,SYN
entropy,8,28,6,0.9895939779490354,0.0053701675626347525,3.093,44,SYN
gini,13,25,5,0.9868578431376964,0.006355362944564698,4.305,45,SYN
gini,26,32,8,0.9884762379647192,0.00542229146997365,4.459,46,SYN
entropy,24,24,3,0.9913103693161209,0.002379266233998584,4.117,47,SYN
gini,13,15,2,0.9803444329628993,0.016701238898978246,3.449,48,SYN
