criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,4,13,3,0.9872132077909441,0.019184185177904742,1.978,0,SYN
gini,28,9,3,0.9800048031373525,0.035914737769502485,1.377,1,SYN
entropy,18,27,6,0.9905568789297708,0.007827288782955251,2.66,2,SYN
entropy,25,26,4,0.9936175818929197,0.001777108593178367,2.34,3,SYN
gini,30,22,2,0.989213946298972,0.013283880897788963,1.418,4,SYN
entropy,18,13,3,0.9757380126742193,0.026572414750984073,1.823,5,SYN
entropy,19,31,3,0.9918128005117189,0.004794301824520497,3.942,6,SYN
gini,5,33,2,0.9912204309806594,0.004827364354697112,1.925,7,SYN
gini,29,9,4,0.9475622365639058,0.0486374267678907,1.576,8,SYN
entropy,20,18,9,0.9864786405619398,0.02137939251287689,2.195,9,SYN
entropy,10,13,2,0.9787022568677116,0.02455553928733305,1.697,10,SYN
entropy,4,23,7,0.9930113759678489,0.003595726368390373,2.419,11,SYN
entropy,17,29,8,0.9924190064367895,0.0038297994603519207,2.28,12,SYN
gini,10,22,7,0.9936175818929197,0.0017771085931783668,1.602,13,SYN
gini,11,8,7,0.9591415224197355,0.033761485720132524,1.196,14,SYN
gini,27,15,9,0.9872138050707697,0.01917633677122183,1.381,15,SYN
entropy,25,29,6,0.9848749807832917,0.014672926984563224,1.797,16,SYN
gini,9,9,9,0.9908897473947201,0.00833495176530696,1.553,17,SYN
entropy,30,22,2,0.981418044644753,0.023563194447059066,2.866,18,SYN
gini,4,23,3,0.9930113759678489,0.003595726368390373,3.991,19,SYN
gini,14,8,8,0.9658067005279596,0.03203878824367312,1.486,20,SYN
gini,27,21,2,0.9905707153237822,0.007349799380453679,1.85,21,SYN
entropy,25,20,2,0.9930242901216676,0.0036002369741816756,1.859,22,SYN
entropy,10,21,6,0.987598925281618,0.01983307842708346,1.761,23,SYN
gini,26,30,2,0.9867077726225328,0.014351653487223791,1.981,24,SYN
entropy,22,11,5,0.9846102931419282,0.018656118646436,1.527,25,SYN
entropy,20,24,2,0.9919323706955746,0.003748621075135272,1.948,26,SYN
entropy,26,5,3,0.9637071186939364,0.02577530255570831,1.299,27,SYN
gini,30,8,9,0.9748816336149876,0.022391893376372436,1.713,28,SYN
entropy,18,6,3,0.9588874297699712,0.032677656916321664,1.294,29,SYN
gini,22,26,8,0.9912204309806594,0.004827364354697112,1.554,30,SYN
gini,28,18,6,0.9844273849008702,0.016628958379155314,1.647,31,SYN
gini,24,20,8,0.9942228655777978,3.874246145583182e-05,1.818,32,SYN
entropy,22,18,7,0.9825455940795408,0.019436046867951688,2.617,33,SYN
gini,21,7,9,0.9632505517633533,0.03586957868290292,1.364,34,SYN
entropy,16,22,6,0.9822435417482577,0.020569141814956775,2.251,35,SYN
entropy,10,23,7,0.9905836294776007,0.007356293035272405,1.861,36,SYN
entropy,27,21,4,0.9900438176010932,0.007676294323145672,2.08,37,SYN
entropy,18,26,9,0.9930113759678492,0.003595726368390373,1.89,38,SYN
gini,19,19,5,0.9936175818929197,0.0017771085931783668,1.462,39,SYN
entropy,13,32,2,0.9815273141326128,0.019453217233517367,1.86,40,SYN
gini,15,19,7,0.9869879144797847,0.012457087621672957,1.813,41,SYN
entropy,22,18,3,0.9908504076534387,0.008337449536061635,1.461,42,SYN
entropy,18,29,7,0.9930252123618603,0.0023694781242378227,2.185,43,SYN
entropy,23,25,7,0.9873001421535923,0.014525775842267876,2.048,44,SYN
entropy,23,6,9,0.9284554282813063,0.055306434130854794,1.083,45,SYN
gini,5,8,7,0.9686898292616476,0.03414075242349271,1.005,46,SYN
gini,19,14,6,0.9772253231433371,0.02421432344692025,1.245,47,SYN
entropy,21,18,8,0.9877797490143664,0.019290607228838418,1.478,48,SYN
gini,10,30,2,0.9854811867083624,0.01467611375906866,1.82,49,SYN
entropy,2,7,9,1.0,0.0,0.411,0,HTTP
entropy,7,4,9,0.890437954516007,0.20964611194203336,0.315,1,HTTP
entropy,25,5,8,0.8619226315027703,0.17172013202634293,0.344,2,HTTP
entropy,6,7,7,0.999760764181018,0.0007177074569461261,0.402,3,HTTP
entropy,3,5,2,1.0,0.0,0.406,4,HTTP
entropy,19,7,6,0.9089250600693187,0.1685848564449776,0.414,5,HTTP
entropy,18,6,6,0.8577825329482061,0.21188258652134936,0.33,6,HTTP
gini,17,8,3,0.941734442135975,0.09986832979825688,0.406,7,HTTP
entropy,3,5,2,0.9449604623520452,0.16511861294386435,0.29,8,HTTP
gini,31,8,8,0.868742679747849,0.2120459935587948,0.392,9,HTTP
gini,29,8,2,0.919083788066942,0.16916188541418917,0.424,10,HTTP
entropy,5,8,8,1.0,0.0,0.39,11,HTTP
gini,6,8,6,0.9479837807606264,0.1560486577181208,0.31,12,HTTP
gini,20,3,3,0.8232369056814182,0.24205688208097137,0.295,13,HTTP
entropy,4,2,7,0.8709143525598296,0.25580458110220666,0.286,14,HTTP
gini,4,8,4,1.0,0.0,0.287,15,HTTP
gini,13,2,8,0.9244776810453097,0.15143584867490842,0.306,16,HTTP
entropy,5,1,7,0.8490494999688046,0.2396760007607018,0.257,17,HTTP
entropy,28,5,8,0.8898222155960941,0.20332951430389742,0.379,18,HTTP
entropy,4,4,6,0.9454013686571827,0.16379589402845218,0.328,19,HTTP
gini,2,4,2,0.8267404720861296,0.26578390684721404,0.698,20,HTTP
gini,26,2,8,0.936147731155296,0.11421408210929514,0.449,21,HTTP
gini,27,7,9,0.9937766946821656,0.009099194539358117,0.388,22,HTTP
gini,18,8,8,0.8651190225583001,0.2126517124792567,0.549,23,HTTP
entropy,2,1,9,0.8092862107482887,0.2914333116686557,0.304,24,HTTP
gini,20,7,4,0.9183660477469923,0.16883194656729308,0.418,25,HTTP
entropy,6,8,5,1.0,0.0,0.345,26,HTTP
entropy,30,4,9,0.9406780549120644,0.10389073783224201,0.345,27,HTTP
gini,9,3,4,0.8905139662682926,0.21192144757591871,0.349,28,HTTP
gini,4,8,3,1.0,0.0,0.298,29,HTTP
gini,4,2,9,0.8809882512265148,0.22772443412398452,0.252,30,HTTP
gini,13,8,8,0.969551374769081,0.07593062683641447,0.418,31,HTTP
entropy,22,7,4,0.8540841334392827,0.21284648970801057,0.41,32,HTTP
entropy,8,3,9,0.8391515068841298,0.2401308324675915,0.33,33,HTTP
entropy,29,6,4,0.8901161680476758,0.17546976933716968,0.375,34,HTTP
gini,31,3,3,0.9937770659171798,0.009645495824757789,0.311,35,HTTP
gini,18,4,9,0.9382220749754626,0.16159788051531493,0.346,36,HTTP
entropy,6,1,5,0.9944959654482091,0.00794064985323529,0.232,37,HTTP
gini,25,3,5,0.9090247564429687,0.16488635720451458,0.344,38,HTTP
entropy,8,3,5,0.9944965571995901,0.006425463738433132,0.377,39,HTTP
entropy,5,6,9,0.999760764181018,0.0007177074569461261,0.482,40,HTTP
entropy,5,2,9,0.7525521454405262,0.30073193862687614,0.506,41,HTTP
gini,6,7,8,0.8693028883872816,0.20921183291459997,0.856,42,HTTP
entropy,32,6,9,0.8648572562234962,0.1744283772692461,0.575,43,HTTP
entropy,6,5,2,0.9416791669919743,0.15848196678701024,0.362,44,HTTP
gini,20,8,8,0.9200411586672729,0.16954896658170163,0.429,45,HTTP
gini,6,7,6,0.8959675615212529,0.20806487695749437,0.301,46,HTTP
entropy,15,4,3,0.8612539410160258,0.21194740109811266,0.317,47,HTTP
gini,6,6,2,0.9451621328382005,0.16371770248816864,0.292,48,HTTP
entropy,2,6,7,0.9454013686571827,0.16379589402845218,0.288,49,HTTP
gini,16,20,6,0.49670078103959064,0.0,0.464,0,ACK
entropy,16,11,4,0.49670078103959064,0.0,0.377,1,ACK
gini,12,18,6,0.49670078103959064,0.0,0.359,2,ACK
gini,5,11,3,0.49670078103959064,0.0,0.416,3,ACK
entropy,22,9,2,0.49670078103959064,0.0,0.519,4,ACK
entropy,1,11,2,0.49670078103959064,0.0,0.411,5,ACK
gini,8,2,2,0.49670078103959064,0.0,0.362,6,ACK
gini,25,10,8,0.49670078103959064,0.0,0.46,7,ACK
gini,10,17,2,0.49670078103959064,0.0,0.393,8,ACK
gini,30,3,4,0.49670078103959064,0.0,0.347,9,ACK
gini,6,10,5,0.49670078103959064,0.0,0.379,10,ACK
entropy,2,10,4,0.49670078103959064,0.0,0.417,11,ACK
gini,15,12,7,0.49670078103959064,0.0,0.35,12,ACK
entropy,19,17,6,0.49670078103959064,0.0,0.436,13,ACK
entropy,32,17,6,0.49670078103959064,0.0,0.415,14,ACK
gini,32,10,6,0.49670078103959064,0.0,0.475,15,ACK
entropy,31,20,4,0.49670078103959064,0.0,0.538,16,ACK
entropy,12,2,3,0.49670078103959064,0.0,0.361,17,ACK
entropy,7,19,4,0.49670078103959064,0.0,0.439,18,ACK
entropy,10,20,7,0.49670078103959064,0.0,0.374,19,ACK
entropy,18,14,2,0.49670078103959064,0.0,0.388,20,ACK
entropy,12,5,7,0.49670078103959064,0.0,0.419,21,ACK
gini,23,13,3,0.49670078103959064,0.0,0.492,22,ACK
entropy,3,7,6,0.49670078103959064,0.0,0.475,23,ACK
entropy,31,1,3,0.49670078103959064,0.0,0.34,24,ACK
gini,16,1,5,0.49670078103959064,0.0,0.375,25,ACK
gini,10,1,6,0.49670078103959064,0.0,0.443,26,ACK
entropy,4,12,2,0.49670078103959064,0.0,0.332,27,ACK
entropy,23,13,5,0.49670078103959064,0.0,0.395,28,ACK
gini,10,18,8,0.49670078103959064,0.0,0.603,29,ACK
gini,30,12,6,0.49670078103959064,0.0,0.389,30,ACK
