Attack,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ACK,DT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00909333229064936,0.00030043125152586
ACK,LR,0.9703099510603588,0.974736367411025,0.9663362052866808,0.974736367411025,0.96963090819357,0.9393185496715466,0.974736367411025,0.9002583026885986,0.0006130218505858801
ARP,DT,0.9739952718676121,0.9765279216498726,0.9697159565580618,0.9765279216498726,0.9728188801588923,0.9456533165142437,0.9765279216498726,0.009199929237365671,0.00040059089660642
ARP,LR,0.9562647754137117,0.9546685186929089,0.9533859094498285,0.9546685186929089,0.9540082478726362,0.9080182163432706,0.9546685186929089,0.2892989873886108,0.00060281753540036
BF,DT,0.9658703071672354,0.905032482078853,0.9608474113855363,0.905032482078853,0.9301727229984076,0.8604880460667703,0.905032482078853,0.02379052639007565,0.0006024360656738
BF,LR,0.8831911262798634,0.7031686827956989,0.7950291008588218,0.7031686827956989,0.7357075130353264,0.47490367486501867,0.7031686827956989,1.8510903120040894,0.00060060024261471
HTTP,DT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01433792114257807,0.00049993991851805
HTTP,LR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5917936325073242,0.00060124397277828
MHDis,DT,0.9881097560975609,0.9659763694088334,0.98746681238398,0.9659763694088334,0.9763473671122093,0.9527009262310342,0.9659763694088334,0.02129080295562739,0.0007575988769530801
MHDis,LR,0.9034552845528457,0.7363460997468152,0.8514821898159216,0.7363460997468152,0.7769905170871354,0.5571766935101847,0.7363460997468152,0.7892907857894897,0.00066401958465574
OS,DT,0.9816851831481685,0.9845035032225447,0.8770967163941042,0.9845035032225447,0.9228815562857164,0.8459540380191797,0.9845035032225447,0.01219699382781976,0.00940055847167964
OS,LR,0.9843774062259378,0.9629809145634607,0.9019681447692929,0.9629809145634607,0.9299514885625546,0.8599527450634092,0.9629809145634607,0.23154892921447753,0.004708981513977
SCHD,DT,0.9986804901036758,0.9890625,0.9993012969084754,0.9890625,0.9939649769547444,0.9879311661489141,0.9890625,0.0039950847625732,0.0005002975463867
SCHD,LR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0078910112380981,0.0004024028778076
SP,DT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0023671627044677397,0.0019129276275634001
SP,LR,0.9965969859017987,0.9412751677852349,0.9982588541220206,0.9412751677852349,0.9661877088393585,0.9324053224824516,0.9412751677852349,0.00489788055419918,0.0018162250518798302
SYN,DT,0.9998295841854125,0.9886363636363636,0.9999141630901288,0.9886363636363636,0.994209951423979,0.988419914274212,0.9886363636363636,0.070071530342102,0.00129368305206293
SYN,LR,0.9990967961826855,0.9397727272727273,0.9995454324509092,0.9397727272727273,0.9675569393759694,0.9351162684273486,0.9397727272727273,23.76694781780243,0.00089955329895014
UDP,DT,0.9994609164420485,0.9997229916897507,0.9916666666666666,0.9997229916897507,0.9953156565656565,0.9906336783640495,0.9997229916897507,0.0024937152862548203,0.0
UDP,LR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01594290733337397,0.00045392513275142995
