criterion,max_depth,max_features,min_samples_split,F1,Attack
entropy,1,11,2,0.4967007810395906,ACK
entropy,1,8,2,0.4967007810395906,ACK
gini,2,15,8,0.4967007810395906,ACK
entropy,2,10,4,0.4967007810395906,ACK
gini,2,9,2,0.4967007810395906,ACK
entropy,3,7,6,0.4967007810395906,ACK
entropy,4,12,2,0.4967007810395906,ACK
gini,5,11,3,0.4967007810395906,ACK
gini,6,10,5,0.4967007810395906,ACK
entropy,7,19,4,0.4967007810395906,ACK
gini,8,2,2,0.4967007810395906,ACK
gini,10,18,8,0.4967007810395906,ACK
entropy,10,20,7,0.4967007810395906,ACK
gini,10,1,6,0.4967007810395906,ACK
entropy,10,9,4,0.4967007810395906,ACK
gini,10,17,2,0.4967007810395906,ACK
entropy,11,16,9,0.4967007810395906,ACK
entropy,12,5,7,0.4967007810395906,ACK
gini,12,18,6,0.4967007810395906,ACK
entropy,12,2,3,0.4967007810395906,ACK
gini,15,12,7,0.4967007810395906,ACK
gini,16,20,6,0.4967007810395906,ACK
gini,16,1,5,0.4967007810395906,ACK
entropy,16,11,4,0.4967007810395906,ACK
gini,17,14,3,0.4967007810395906,ACK
entropy,18,17,6,0.4967007810395906,ACK
gini,18,9,6,0.4967007810395906,ACK
entropy,18,12,5,0.4967007810395906,ACK
entropy,18,14,2,0.4967007810395906,ACK
entropy,19,17,6,0.4967007810395906,ACK
entropy,22,9,2,0.4967007810395906,ACK
entropy,23,17,9,0.4967007810395906,ACK
entropy,23,13,5,0.4967007810395906,ACK
gini,23,13,3,0.4967007810395906,ACK
gini,23,4,2,0.4967007810395906,ACK
gini,25,1,9,0.4967007810395906,ACK
gini,25,10,8,0.4967007810395906,ACK
entropy,26,19,9,0.4967007810395906,ACK
entropy,26,5,5,0.4967007810395906,ACK
entropy,28,9,8,0.4967007810395906,ACK
gini,30,12,6,0.4967007810395906,ACK
gini,30,14,4,0.4967007810395906,ACK
gini,30,3,4,0.4967007810395906,ACK
gini,30,8,3,0.4967007810395906,ACK
entropy,31,20,4,0.4967007810395906,ACK
entropy,31,19,4,0.4967007810395906,ACK
entropy,31,1,3,0.4967007810395906,ACK
entropy,32,17,6,0.4967007810395906,ACK
gini,32,10,6,0.4967007810395906,ACK
entropy,32,12,2,0.4967007810395906,ACK
gini,32,31,2,0.9653991354325392,ARP
gini,20,7,7,0.6641999348270908,BF
entropy,2,7,9,1.0,HTTP
entropy,3,5,2,1.0,HTTP
gini,4,8,4,1.0,HTTP
gini,4,8,3,1.0,HTTP
entropy,5,8,8,1.0,HTTP
entropy,6,8,5,1.0,HTTP
entropy,19,29,2,0.5355975897778937,MHDis
gini,9,31,5,0.9091451610210706,OS
gini,8,17,7,1.0,SCHD
entropy,11,25,3,1.0,SCHD
entropy,26,20,2,1.0,SCHD
gini,2,27,7,1.0,SP
entropy,2,21,3,1.0,SP
entropy,3,15,9,1.0,SP
gini,4,13,8,1.0,SP
entropy,5,17,2,1.0,SP
gini,6,18,6,1.0,SP
entropy,7,14,4,1.0,SP
gini,7,26,2,1.0,SP
gini,9,26,2,1.0,SP
entropy,10,19,4,1.0,SP
gini,11,23,7,1.0,SP
gini,14,6,5,1.0,SP
entropy,15,24,4,1.0,SP
entropy,15,12,2,1.0,SP
gini,16,15,9,1.0,SP
gini,16,23,5,1.0,SP
gini,17,13,8,1.0,SP
gini,20,5,2,1.0,SP
entropy,21,30,8,1.0,SP
entropy,21,19,3,1.0,SP
gini,21,2,3,1.0,SP
entropy,22,22,9,1.0,SP
entropy,23,25,4,1.0,SP
entropy,23,21,4,1.0,SP
entropy,23,5,2,1.0,SP
entropy,24,27,5,1.0,SP
gini,25,22,9,1.0,SP
entropy,25,16,3,1.0,SP
entropy,26,15,6,1.0,SP
gini,26,4,4,1.0,SP
gini,27,21,6,1.0,SP
entropy,27,16,5,1.0,SP
gini,28,24,2,1.0,SP
gini,30,11,7,1.0,SP
entropy,30,30,6,1.0,SP
gini,31,27,8,1.0,SP
gini,31,12,7,1.0,SP
gini,31,18,5,1.0,SP
gini,31,23,4,1.0,SP
gini,24,20,8,0.9942228655777978,SYN
gini,4,1,2,0.0506277008208085,UDP
